id,ant,com,lift
120,"Ferramentas Manuais', 'Ferramentas Elétricas e Máquinas', 'Aditivos e Lubrificantes', 'Equipamento Auto Center'",Ferramentas em Geral',1.17650326611712
121,"Ferramentas Manuais', 'Aditivos e Lubrificantes', 'Equipamento Auto Center'",Ferramentas em Geral',1.17638286055893
122,"Ferramentas Manuais', 'EPI', 'Funilaria e Pintura'",Ferramentas em Geral',1.17528071418624
123,"Jardinagem', 'Aditivos e Lubrificantes'","Ferramentas Manuais', 'Ferramentas em Geral'",1.17518305844136
124,"Aditivos e Lubrificantes', 'Ferramentas Pneumáticas'",Equipamento Auto Center',1.17380050992815
125,"Funilaria e Pintura', 'EPI'","Ferramentas Elétricas e Máquinas', 'Ferramentas em Geral'",1.17313253028336
126,"Ferramentas em Geral', 'Funilaria e Pintura', 'Aditivos e Lubrificantes'","Ferramentas Manuais', 'Ferramentas Elétricas e Máquinas'",1.1720845335637
127,"Ferramentas Manuais', 'Equipamento Auto Center', 'Funilaria e Pintura'",Ferramentas em Geral',1.17010686155618
128,"Ferramentas Manuais', 'Funilaria e Pintura'",EPI',1.17002317389347
129,"Ferramentas Manuais', 'Auto Elétrica'",Ferramentas em Geral',1.16855918907325
130,"Aditivos e Lubrificantes', 'EPI'",Ferramentas em Geral',1.16799473773877
131,"Ferramentas Manuais', 'Ferramentas em Geral', 'Funilaria e Pintura'",EPI',1.16769758189667
132,"EPI', 'Ferramentas Elétricas e Máquinas', 'Injeção Eletrônica e Motor'",Ferramentas Manuais',1.16751144248432
133,"Ferramentas Manuais', 'Auto Elétrica'","Ferramentas Elétricas e Máquinas', 'Ferramentas em Geral'",1.16615670785187
134,"Ferramentas Manuais', 'Ferramentas Elétricas e Máquinas', 'Funilaria e Pintura'",Ferramentas em Geral',1.16515092446427
135,"Funilaria e Pintura', 'Ferramentas Elétricas e Máquinas', 'Ferramentas Manuais', 'Equipamento Auto Center'",Ferramentas em Geral',1.16319071093052
136,"Ferramentas Elétricas e Máquinas', 'Aditivos e Lubrificantes', 'Ferramentas Pneumáticas'",Ferramentas em Geral',1.16257201582225
137,"Funilaria e Pintura', 'Injeção Eletrônica e Motor'",Ferramentas Manuais',1.16136500084691
138,"Jardinagem', 'Ferramentas em Geral', 'Equipamento Auto Center'",Ferramentas Manuais',1.1610757295044
139,"Ferramentas em Geral', 'EPI', 'Ferramentas Pneumáticas'",Ferramentas Manuais',1.16072429913701
140,"Funilaria e Pintura', 'Ferramentas Elétricas e Máquinas', 'Equipamento Auto Center'",EPI',1.15970813373978
141,"Aditivos e Lubrificantes', 'Ferramentas em Geral'",Ferramentas Manuais',1.15944017710678
142,"Injeção Eletrônica e Motor', 'EPI'",Ferramentas Manuais',1.15915641019922
143,"Ferramentas Elétricas e Máquinas', 'Ferramentas em Geral', 'Ferramentas Pneumáticas'",Equipamento Auto Center',1.15792239316831
144,Ferramentas Automotivas',"Ferramentas Manuais', 'Ferramentas Elétricas e Máquinas'",1.1568620459589
145,"Jardinagem', 'Injeção Eletrônica e Motor'",Ferramentas Manuais',1.15225028309588
146,"Injeção Eletrônica e Motor', 'Ferramentas Pneumáticas'","Ferramentas Manuais', 'Ferramentas Elétricas e Máquinas'",1.15182339274018
147,"Ferramentas Elétricas e Máquinas', 'Auto Elétrica'",Equipamento Auto Center',1.15114821938567
148,"Ferramentas Elétricas e Máquinas', 'Aditivos e Lubrificantes', 'Equipamento Auto Center'",Ferramentas Manuais',1.15044765594525
149,"Ferramentas em Geral', 'Funilaria e Pintura', 'EPI'","Ferramentas Manuais', 'Ferramentas Elétricas e Máquinas'",1.14975484059935
150,"Ferramentas em Geral', 'Aditivos e Lubrificantes', 'Equipamento Auto Center'","Ferramentas Manuais', 'Ferramentas Elétricas e Máquinas'",1.14759380574049
151,"Funilaria e Pintura', 'Ferramentas Pneumáticas'",Equipamento Auto Center',1.14617597274156
152,Auto Elétrica',Equipamento Auto Center',1.14568414990125
153,"Ferramentas Manuais', 'Ferramentas Elétricas e Máquinas', 'Auto Elétrica'",Ferramentas em Geral',1.1411052287922
154,"Aditivos e Lubrificantes', 'Ferramentas Pneumáticas'",Ferramentas Manuais',1.14019184990069
155,"Ferramentas em Geral', 'Equipamento Auto Center'",Ferramentas Manuais',1.1397187012567
156,"Ferramentas Elétricas e Máquinas', 'Aditivos e Lubrificantes', 'Ferramentas em Geral'",Ferramentas Manuais',1.13953067436049
157,Ferramentas Pneumáticas',Equipamento Auto Center',1.13585239793526
158,"Equipamento Auto Center', 'Ferramentas Elétricas e Máquinas', 'Ferramentas Pneumáticas'",Ferramentas Manuais',1.13573502766978
159,"Jardinagem', 'Ferramentas em Geral', 'Funilaria e Pintura'",Ferramentas Manuais',1.13328218357189
160,"Ferramentas Elétricas e Máquinas', 'EPI', 'Ferramentas Pneumáticas'",Equipamento Auto Center',1.13033278027185
161,"Ferramentas Elétricas e Máquinas', 'Ferramentas em Geral', 'Equipamento Auto Center'",Ferramentas Manuais',1.13030743634124
162,"Ferramentas Elétricas e Máquinas', 'Ferramentas Pneumáticas'",Equipamento Auto Center',1.12889520915204
163,"Ferramentas Elétricas e Máquinas', 'Aditivos e Lubrificantes', 'Ferramentas Pneumáticas'",Ferramentas Manuais',1.12672548248355
164,"Aditivos e Lubrificantes', 'Equipamento Auto Center'",Ferramentas Manuais',1.12642372532348
165,Funilaria e Pintura',"Ferramentas Elétricas e Máquinas', 'Ferramentas em Geral'",1.12574927338794
166,"Ferramentas em Geral', 'EPI', 'Aditivos e Lubrificantes'","Ferramentas Manuais', 'Ferramentas Elétricas e Máquinas'",1.12510036788228
167,"Ferramentas em Geral', 'Ferramentas Pneumáticas'",Equipamento Auto Center',1.12507627635772
168,"Jardinagem', 'Aditivos e Lubrificantes', 'Ferramentas em Geral'",Ferramentas Manuais',1.12454034542992
169,"Ferramentas Elétricas e Máquinas', 'Ferramentas em Geral', 'Ferramentas Pneumáticas'",Ferramentas Manuais',1.12449249432187
170,Ferramentas Para Motos',Ferramentas Manuais',1.12400253659568
171,"Equipamento Auto Center', 'Ferramentas Pneumáticas'",Ferramentas Manuais',1.1238326271739
172,Injeção Eletrônica e Motor',Ferramentas Manuais',1.12163547945337
173,"Ferramentas Manuais', 'Ferramentas Elétricas e Máquinas', 'EPI', 'Equipamento Auto Center'",Ferramentas em Geral',1.12069309004485
174,"Ferramentas Manuais', 'Equipamento Auto Center', 'Funilaria e Pintura'",EPI',1.11960793172691
175,"Ferramentas Elétricas e Máquinas', 'Injeção Eletrônica e Motor'",Ferramentas Manuais',1.11894640377178
176,"Ferramentas em Geral', 'Ferramentas Pneumáticas'",Ferramentas Manuais',1.11887456375645
177,"Funilaria e Pintura', 'Equipamento Auto Center'","Ferramentas Manuais', 'Ferramentas Elétricas e Máquinas'",1.11865343114986
178,"EPI', 'Ferramentas Pneumáticas'",Equipamento Auto Center',1.11813280043224
179,"Funilaria e Pintura', 'Equipamento Auto Center'",EPI',1.11775936459593
180,"Funilaria e Pintura', 'Ferramentas em Geral'","Ferramentas Manuais', 'Ferramentas Elétricas e Máquinas'",1.11767604532296
181,"Funilaria e Pintura', 'Ferramentas Elétricas e Máquinas', 'Aditivos e Lubrificantes'",EPI',1.11686746987952
182,"Funilaria e Pintura', 'Ferramentas Elétricas e Máquinas', 'Ferramentas Pneumáticas'",Ferramentas em Geral',1.11660296927826
183,"EPI', 'Auto Elétrica'",Ferramentas em Geral',1.1148389835448
184,"Jardinagem', 'Ferramentas Elétricas e Máquinas', 'Aditivos e Lubrificantes'",Ferramentas em Geral',1.11419649736171
185,"Ferramentas Manuais', 'Para Você e Sua Casa'",Equipamento Auto Center',1.11349098387191
186,"Aditivos e Lubrificantes', 'Ferramentas Pneumáticas'",Ferramentas em Geral',1.11348686796865
187,"Funilaria e Pintura', 'Ferramentas Elétricas e Máquinas', 'EPI'",Ferramentas em Geral',1.11202203401968
188,"Injeção Eletrônica e Motor', 'Ferramentas em Geral'","Ferramentas Manuais', 'Ferramentas Elétricas e Máquinas'",1.10867817021848
189,"Ferramentas Elétricas e Máquinas', 'Aditivos e Lubrificantes'",Ferramentas em Geral',1.10816266226282
190,Aditivos e Lubrificantes',Ferramentas em Geral',1.10764766947747
191,Auto Elétrica',Ferramentas em Geral',1.10434607609189
192,"Jardinagem', 'Funilaria e Pintura'",Ferramentas em Geral',1.10429097725059
193,"Funilaria e Pintura', 'Ferramentas Pneumáticas'","Ferramentas Elétricas e Máquinas', 'Ferramentas em Geral'",1.10324726075879
194,"Jardinagem', 'Aditivos e Lubrificantes'",Ferramentas em Geral',1.10299562126555
195,"Funilaria e Pintura', 'Aditivos e Lubrificantes'",Ferramentas Manuais',1.10292879514453
196,"Jardinagem', 'Funilaria e Pintura'","Ferramentas Elétricas e Máquinas', 'Ferramentas em Geral'",1.10263138559375
197,"Jardinagem', 'Ferramentas Elétricas e Máquinas', 'Funilaria e Pintura'",Ferramentas em Geral',1.10174794086214
198,Auto Elétrica',"Ferramentas Elétricas e Máquinas', 'Ferramentas em Geral'",1.09991693148647
199,"Funilaria e Pintura', 'Ferramentas Elétricas e Máquinas', 'Equipamento Auto Center'",Ferramentas Manuais',1.09832692368505
200,"Ferramentas Manuais', 'Aditivos e Lubrificantes'","Ferramentas Elétricas e Máquinas', 'Ferramentas em Geral'",1.09739354049921
201,"Aditivos e Lubrificantes', 'EPI'",Ferramentas Manuais',1.09730947897686
202,"Ferramentas em Geral', 'Equipamento Auto Center'","Ferramentas Manuais', 'Ferramentas Elétricas e Máquinas'",1.09651564897015
203,"Funilaria e Pintura', 'EPI', 'Equipamento Auto Center'",Ferramentas Manuais',1.09647193357823
204,"Funilaria e Pintura', 'Ferramentas Elétricas e Máquinas', 'Aditivos e Lubrificantes'",Ferramentas Manuais',1.09621874188803
205,"Funilaria e Pintura', 'Aditivos e Lubrificantes'",EPI',1.09531912154406
206,"Ferramentas Elétricas e Máquinas', 'Lava Jato e Posto'",Equipamento Auto Center',1.09466167309659
207,"Funilaria e Pintura', 'Equipamento Auto Center'",Ferramentas Manuais',1.09466156593165
208,"Jardinagem', 'Ferramentas Elétricas e Máquinas', 'Ferramentas Manuais', 'EPI'",Ferramentas em Geral',1.08854761829137
209,"Ferramentas Elétricas e Máquinas', 'Aditivos e Lubrificantes', 'EPI'",Ferramentas Manuais',1.0885123004821
210,"Ferramentas Manuais', 'Ferramentas Automotivas'",Ferramentas em Geral',1.08769761916272
211,"Funilaria e Pintura', 'Auto Elétrica'",Ferramentas Elétricas e Máquinas',1.08757733030864
212,Funilaria e Pintura',Ferramentas em Geral',1.08640423283381
213,"Injeção Eletrônica e Motor', 'Equipamento Auto Center'","Ferramentas Manuais', 'Ferramentas Elétricas e Máquinas'",1.08634132690247
214,"Funilaria e Pintura', 'Ferramentas em Geral'",Ferramentas Manuais',1.08542913887783
215,"Ferramentas Elétricas e Máquinas', 'EPI', 'Equipamento Auto Center'",Ferramentas Manuais',1.08516011632455
216,"Ferramentas em Geral', 'EPI'",Ferramentas Manuais',1.08386519306893
217,"Funilaria e Pintura', 'EPI'",Ferramentas em Geral',1.08335424562729
218,"Aditivos e Lubrificantes', 'EPI'","Ferramentas Elétricas e Máquinas', 'Ferramentas em Geral'",1.08328440619043
219,Construção Civil',EPI',1.08182345030294
220,"Ferramentas Manuais', 'Ferramentas Elétricas e Máquinas', 'Ferramentas Automotivas'",Ferramentas em Geral',1.07820127985864
221,"Funilaria e Pintura', 'Ferramentas Elétricas e Máquinas'",Ferramentas em Geral',1.07738683975787
222,"Ferramentas Elétricas e Máquinas', 'Auto Elétrica'",Ferramentas em Geral',1.07507317463142
223,"Ferramentas em Geral', 'Ferramentas Pneumáticas'","Ferramentas Manuais', 'Ferramentas Elétricas e Máquinas'",1.07289476891204
224,"EPI', 'Equipamento Auto Center'",Ferramentas Manuais',1.07258303496092
225,"Funilaria e Pintura', 'Injeção Eletrônica e Motor'",Ferramentas em Geral',1.07246200270357
226,"Ferramentas em Geral', 'Ferramentas Elétricas e Máquinas', 'EPI'",Ferramentas Manuais',1.07110261740751
227,"EPI', 'Ferramentas Pneumáticas'",Ferramentas Manuais',1.07072850449294
228,"Jardinagem', 'Ferramentas Manuais', 'Equipamento Auto Center'",Ferramentas em Geral',1.07044172920754
229,"Ferramentas Manuais', 'Aditivos e Lubrificantes', 'Equipamento Auto Center'","Ferramentas Elétricas e Máquinas', 'Ferramentas em Geral'",1.06967349256571
230,"Funilaria e Pintura', 'Ferramentas Elétricas e Máquinas', 'Ferramentas em Geral'",Ferramentas Manuais',1.06861921416151
231,"Ferramentas em Geral', 'EPI', 'Funilaria e Pintura'",Ferramentas Manuais',1.06846737852437
232,"Ferramentas em Geral', 'EPI', 'Funilaria e Pintura'",Ferramentas Elétricas e Máquinas',1.06790895026287
233,"Injeção Eletrônica e Motor', 'EPI'","Ferramentas Manuais', 'Ferramentas Elétricas e Máquinas'",1.06700699968645
